"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"152","NC State","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152","152",11,4
"2885","NJIT","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885","2885",NA,NA
"2426","Navy","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426","2426",NA,NA
"158","Nebraska","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158","158",8,5
"2440","Nevada","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440","2440",10,4
"160","New Hampshire","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160",NA,NA
"167","New Mexico","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167","167",11,4
"166","New Mexico St","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166","166",NA,NA
"2443","New Orleans","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443","2443",NA,NA
"315","Niagara","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315","315",NA,NA
"2447","Nicholls","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447","2447",NA,NA
"2450","Norfolk St","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450","2450",NA,NA
"2453","North Alabama","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453","2453",NA,NA
"2448","NC A&T","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448","2448",NA,NA
"2428","NC Central","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428","2428",NA,NA
"153","North Carolina","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153","153",1,25
"155","North Dakota","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155",NA,NA
"2449","N Dakota St","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449","2449",NA,NA
"2454","North Florida","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454","2454",NA,NA
"249","North Texas","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249","249",NA,NA
"111","Northeastern","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111","111",NA,NA
"2464","N Arizona","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464","2464",NA,NA
"2458","N Colorado","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458","2458",NA,NA
"2459","N Illinois","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459","2459",NA,NA
"2460","Northern Iowa","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460","2460",NA,NA
"94","N Kentucky","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94","94",NA,NA
"2466","N'Western St","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466","2466",NA,NA
"77","Northwestern","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77","77",9,5
"87","Notre Dame","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87","87",NA,NA
"2473","Oakland","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473","2473",14,2
"195","Ohio","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195","195",NA,NA
"194","Ohio State","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194",NA,NA
"201","Oklahoma","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201","201",NA,NA
"197","Oklahoma St","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197","197",NA,NA
"295","Old Dominion","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295","295",NA,NA
"145","Ole Miss","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145","145",NA,NA
"2437","Omaha","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437","2437",NA,NA
"198","Oral Roberts","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198",NA,NA
"2483","Oregon","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483","2483",11,4
"204","Oregon St","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204","204",NA,NA
"279","Pacific","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279",NA,NA
"213","Penn State","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213","213",NA,NA
"219","Penn","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219","219",NA,NA
"2492","Pepperdine","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492","2492",NA,NA
"221","Pitt","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221","221",NA,NA
"2501","Portland","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501","2501",NA,NA
"2502","Portland St","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502","2502",NA,NA
"2504","Prairie View","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504","2504",NA,NA
"2506","Presbyterian","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506","2506",NA,NA
"163","Princeton","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163","163",NA,NA
"2507","Providence","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507","2507",NA,NA
"2509","Purdue","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509","2509",1,25
"2870","Purdue FW","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870","2870",NA,NA
"2514","Quinnipiac","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514","2514",NA,NA
"2515","Radford","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515","2515",NA,NA
"227","Rhode Island","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227","227",NA,NA
"242","Rice","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242","242",NA,NA
"257","Richmond","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257","257",NA,NA
"2520","Rider","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520","2520",NA,NA
"2523","Robert Morris","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523","2523",NA,NA
"164","Rutgers","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164","164",NA,NA
"2545","SE Louisiana","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545","2545",NA,NA
"2565","SIUE","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565","2565",NA,NA
"2567","SMU","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567","2567",NA,NA
"16","Sacramento St","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16",NA,NA
"2529","Sacred Heart","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529","2529",NA,NA
"2603","Saint Joseph's","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603","2603",NA,NA
"139","Saint Louis","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139",NA,NA
"2608","Saint Mary's","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608","2608",5,11
"2612","Saint Peter's","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612","2612",15,1
"2534","Sam Houston","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534","2534",NA,NA
"2535","Samford","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535","2535",13,2
"21","San Diego St","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21","21",5,11
"301","San Diego","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301","301",NA,NA
"2539","San Francisco","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539","2539",NA,NA
"23","San José St","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23",NA,NA
"2541","Santa Clara","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541","2541",NA,NA
"2547","Seattle U","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547","2547",NA,NA
"2550","Seton Hall","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550",NA,NA
"2561","Siena","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561","2561",NA,NA
"6","South Alabama","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",NA,NA
"2579","South Carolina","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579","2579",6,10
"2569","SC State","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569","2569",NA,NA
"2908","SC Upstate","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908","2908",NA,NA
"233","South Dakota","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233","233",NA,NA
"2571","S Dakota St","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571","2571",15,1
"58","South Florida","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58",NA,NA
"2546","SE Missouri","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546","2546",NA,NA
"79","S Illinois","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79","79",NA,NA
"2582","Southern","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582","2582",NA,NA
"2572","Southern Miss","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572","2572",NA,NA
"253","Southern Utah","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253",NA,NA
"179","St Bonaventure","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179","179",NA,NA
"2598","St Francis PA","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598","2598",NA,NA
"2599","St John's","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599",NA,NA
"2900","St Thomas (MN)","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900",NA,NA
"24","Stanford","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24",NA,NA
"2617","SF Austin","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617","2617",NA,NA
"56","Stetson","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56",16,1
"284","Stonehill","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284","284",NA,NA
"2619","Stony Brook","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619","2619",NA,NA
"183","Syracuse","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183","183",NA,NA
"2628","TCU","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628","2628",9,5
"2627","Tarleton St","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627","2627",NA,NA
"218","Temple","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218","218",NA,NA
"2634","Tennessee St","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634","2634",NA,NA
"2635","Tennessee Tech","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635","2635",NA,NA
"2633","Tennessee","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633","2633",2,19
"245","Texas A&M","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245","245",9,5
"357","Texas A&M-CC","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357","357",NA,NA
"251","Texas","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251","251",7,8
"2640","Texas Southern","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640","2640",NA,NA
"326","Texas St","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326","326",NA,NA
"2641","Texas Tech","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641","2641",6,10
"2643","The Citadel","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643","2643",NA,NA
"2649","Toledo","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649","2649",NA,NA
"119","Towson","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119",NA,NA
"2653","Troy","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653","2653",NA,NA
"2655","Tulane","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655","2655",NA,NA
"202","Tulsa","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202","202",NA,NA
"5","UAB","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",12,3
"399","UAlbany","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399","399",NA,NA
"302","UC Davis","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302","302",NA,NA
"300","UC Irvine","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300",NA,NA
"27","UC Riverside","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27",NA,NA
"28","UC San Diego","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28",NA,NA
"2540","Santa Barbara","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540","2540",NA,NA
"2116","UCF","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116","2116",NA,NA
"26","UCLA","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26",NA,NA
"41","UConn","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41",1,25
"82","UIC","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82","82",NA,NA
"2433","UL Monroe","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433","2433",NA,NA
"2378","UMBC","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378","2378",NA,NA
"2349","UMass Lowell","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349","2349",NA,NA
"2427","UNC Asheville","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427","2427",NA,NA
"2430","UNC Greensboro","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430",NA,NA
"350","UNC Wilmington","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350",NA,NA
"2439","UNLV","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439","2439",NA,NA
"30","USC","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30",NA,NA
"250","UT Arlington","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250",NA,NA
"2630","UT Martin","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630","2630",NA,NA
"292","UT Rio Grande","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292","292",NA,NA
"2638","UTEP","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638","2638",NA,NA
"2636","UTSA","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636","2636",NA,NA
"328","Utah State","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328","328",8,5
"3101","Utah Tech","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101","3101",NA,NA
"254","Utah","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254","254",NA,NA
"3084","Utah Valley","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084","3084",NA,NA
"2670","VCU","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670","2670",NA,NA
"2678","VMI","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678","2678",NA,NA
"2674","Valparaiso","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674","2674",NA,NA
"238","Vanderbilt","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238","238",NA,NA
"261","Vermont","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261",13,2
"222","Villanova","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222",NA,NA
"258","Virginia","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258","258",NA,NA
"259","Virginia Tech","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259","259",NA,NA
"2681","Wagner","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681","2681",16,1
"154","Wake Forest","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154","154",NA,NA
"264","Washington","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264","264",NA,NA
"265","Washington St","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265","265",7,8
"2692","Weber St","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692","2692",NA,NA
"2698","West Georgia","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698","2698",NA,NA
"277","West Virginia","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277",NA,NA
"2717","W Carolina","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717","2717",NA,NA
"2710","W Illinois","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710","2710",NA,NA
"98","Western KY","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98","98",15,1
"2711","W Michigan","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711","2711",NA,NA
"2724","Wichita St","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724","2724",NA,NA
"2729","William & Mary","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729","2729",NA,NA
"2737","Winthrop","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737","2737",NA,NA
"275","Wisconsin","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275","275",5,11
"2747","Wofford","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747","2747",NA,NA
"2750","Wright St","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750","2750",NA,NA
"2751","Wyoming","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751","2751",NA,NA
"2752","Xavier","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752","2752",NA,NA
"43","Yale","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43",13,2
"2754","Youngstown St","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754","2754",NA,NA
