"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"2463","CSU Northridge","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463","2463",NA,NA
"2856","CA Baptist","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856","2856",NA,NA
"25","California","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25",NA,NA
"2097","Campbell","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097","2097",NA,NA
"2099","Canisius","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099","2099",NA,NA
"2110","C Arkansas","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110","2110",NA,NA
"2115","C Connecticut","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115","2115",NA,NA
"2117","C Michigan","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117","2117",NA,NA
"232","Charleston","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232","232",13,2
"2127","Charleston So","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127","2127",NA,NA
"2429","Charlotte","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429","2429",NA,NA
"236","Chattanooga","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236","236",NA,NA
"2130","Chicago St","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130","2130",NA,NA
"2132","Cincinnati","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132","2132",NA,NA
"228","Clemson","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228","228",6,10
"325","Cleveland St","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325","325",NA,NA
"324","Coastal Car","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324","324",NA,NA
"2142","Colgate","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142","2142",14,2
"38","Colorado","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38","38",10,4
"36","Colorado St","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36","36",10,4
"171","Columbia","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171","171",NA,NA
"2154","Coppin St","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154","2154",NA,NA
"172","Cornell","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172","172",NA,NA
"156","Creighton","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156","156",3,13
"159","Dartmouth","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159","159",NA,NA
"2166","Davidson","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166","2166",NA,NA
"2168","Dayton","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168","2168",7,8
"305","DePaul","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305","305",NA,NA
"48","Delaware","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48",NA,NA
"2169","Delaware St","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169","2169",NA,NA
"2172","Denver","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172","2172",NA,NA
"2174","Detroit Mercy","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174","2174",NA,NA
"2181","Drake","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181","2181",10,4
"2182","Drexel","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182","2182",NA,NA
"150","Duke","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150","150",4,12
"2184","Duquesne","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184","2184",11,4
